"contract","payment_method","tenure_months","monthly_charges","total_charges","churn_value","churn_score","cltv"
"Month-to-month","Electronic check",37,"64.75","2345.2",1,80,"5554"
"Month-to-month","Electronic check",26,"89.8","2335.3",1,71,"3452"
"One year","Mailed check",12,"95.5","1115.15",1,88,"3538"
"Month-to-month","Electronic check",10,"29.65","291.4",1,89,"5702"
"Month-to-month","Electronic check",5,"84.5","453.75",1,98,"5141"
"Month-to-month","Credit card (automatic)",18,"90.7","1597.25",1,89,"2931"
"Month-to-month","Electronic check",3,"70.3","235.5",1,98,"5165"
"One year","Bank transfer (automatic)",54,"103.95","5639.05",1,99,"6117"
"Month-to-month","Electronic check",10,"74.75","799.65",1,69,"5578"
"Month-to-month","Electronic check",1,"50.8","50.8",1,68,"4535"
"Month-to-month","Electronic check",2,"80.25","144.55",1,80,"5055"
"Month-to-month","Electronic check",32,"78.9","2447.95",1,90,"5949"
"Month-to-month","Electronic check",36,"84.75","3050.15",1,76,"5272"
"Month-to-month","Bank transfer (automatic)",53,"85.45","4517.25",1,90,"4753"
"Month-to-month","Mailed check",1,"19.9","19.9",1,67,"5441"
"Month-to-month","Electronic check",12,"99.45","1200.15",1,98,"2819"
"Month-to-month","Electronic check",1,"70.6","70.6",1,85,"4063"
"Month-to-month","Credit card (automatic)",5,"81.0","389.6",1,96,"3718"
"Month-to-month","Electronic check",6,"84.85","523.5",1,72,"3420"
"Month-to-month","Electronic check",26,"89.15","2277.65",1,89,"4074"
"Month-to-month","Electronic check",1,"24.8","24.8",1,73,"5377"
"One year","Credit card (automatic)",64,"105.65","6903.1",1,98,"4870"
"Month-to-month","Electronic check",13,"80.85","1008.7",1,85,"5964"
"Month-to-month","Electronic check",9,"89.45","853.1",1,91,"4971"
"Month-to-month","Credit card (automatic)",10,"72.15","794.25",1,98,"2457"
"Month-to-month","Electronic check",2,"76.4","160.8",1,100,"3005"
"Month-to-month","Mailed check",20,"61.6","1174.35",1,85,"3866"
"Month-to-month","Electronic check",9,"79.9","741.7",1,100,"4748"
"Month-to-month","Credit card (automatic)",32,"96.15","3019.25",1,79,"2246"
"Two year","Credit card (automatic)",70,"65.3","4759.75",1,85,"5591"
"Month-to-month","Mailed check",1,"19.65","19.65",1,69,"5717"
"Month-to-month","Mailed check",1,"84.65","84.65",1,79,"4261"
"Month-to-month","Electronic check",1,"69.55","69.55",1,67,"5948"
"Month-to-month","Electronic check",13,"31.05","347.25",1,97,"5131"
"Month-to-month","Mailed check",7,"51.0","354.05",1,90,"3736"
"Month-to-month","Bank transfer (automatic)",1,"44.35","44.35",1,90,"4599"
"Month-to-month","Electronic check",7,"79.7","586.05",1,98,"3109"
"Month-to-month","Credit card (automatic)",54,"55.0","3092.65",1,84,"5282"
"Month-to-month","Mailed check",5,"84.85","415.55",1,74,"3305"
"Month-to-month","Electronic check",1,"73.65","73.65",1,86,"5443"
"One year","Mailed check",33,"73.9","2405.05",1,73,"5374"
"Month-to-month","Electronic check",55,"77.75","4458.15",1,79,"4398"
"Month-to-month","Electronic check",6,"84.35","474.9",1,77,"5721"
"Month-to-month","Electronic check",8,"84.95","668.4",1,81,"4437"
"Month-to-month","Electronic check",11,"73.85","926.25",1,66,"3634"
"One year","Bank transfer (automatic)",49,"51.8","2541.25",1,67,"5375"
"Month-to-month","Electronic check",1,"46.0","46.0",1,67,"4531"
"Month-to-month","Electronic check",15,"79.4","1156.1",1,74,"3621"
"Month-to-month","Bank transfer (automatic)",16,"71.8","1167.8",1,86,"3327"
"One year","Mailed check",44,"88.4","3912.9",1,99,"2674"
"Month-to-month","Mailed check",5,"46.0","221.7",1,85,"4846"
"Month-to-month","Credit card (automatic)",4,"51.75","201.1",1,83,"3865"
"Month-to-month","Electronic check",30,"94.4","2838.7",1,71,"2792"
"Month-to-month","Mailed check",1,"70.15","70.15",1,96,"3208"
"Month-to-month","Credit card (automatic)",9,"34.7","296.1",1,95,"5352"
"Month-to-month","Electronic check",1,"81.1","81.1",1,85,"2075"
"Month-to-month","Mailed check",1,"20.55","20.55",1,78,"3797"
"Two year","Electronic check",61,"106.6","6428.4",1,68,"4183"
"Month-to-month","Electronic check",59,"106.75","6252.9",1,81,"4508"
"Month-to-month","Electronic check",3,"89.45","240.45",1,84,"3591"
"Month-to-month","Electronic check",3,"97.9","315.3",1,86,"4330"
"Month-to-month","Mailed check",1,"55.7","55.7",1,79,"4629"
"Month-to-month","Electronic check",13,"79.8","973.45",1,75,"5067"
"Month-to-month","Electronic check",18,"39.05","669.85",1,66,"2601"
"Month-to-month","Mailed check",3,"83.9","267.4",1,68,"3464"
"Month-to-month","Electronic check",1,"69.85","69.85",1,68,"5056"
"Month-to-month","Mailed check",1,"53.55","53.55",1,79,"2326"
"Two year","Bank transfer (automatic)",70,"93.9","6579.05",1,95,"6173"
"Two year","Electronic check",68,"113.15","7856.0",1,90,"4610"
"Month-to-month","Electronic check",26,"84.95","2169.75",1,75,"4316"
"Month-to-month","Bank transfer (automatic)",11,"80.5","896.9",1,75,"5119"
"Month-to-month","Mailed check",1,"19.3","19.3",1,99,"4266"
"Month-to-month","Mailed check",1,"49.65","49.65",1,97,"5338"
"Two year","Credit card (automatic)",46,"54.35","2460.15",1,83,"2793"
"Month-to-month","Electronic check",4,"88.45","370.65",1,98,"2456"
"Month-to-month","Bank transfer (automatic)",22,"90.5","1910.6",1,71,"5014"
"Month-to-month","Mailed check",9,"94.85","890.6",1,72,"3016"
"Month-to-month","Bank transfer (automatic)",7,"69.95","529.5",1,90,"3296"
"Month-to-month","Credit card (automatic)",1,"48.6","48.6",1,83,"4207"
"Month-to-month","Electronic check",40,"55.8","2109.35",1,90,"4272"
"Month-to-month","Bank transfer (automatic)",29,"80.15","2265.25",1,83,"5189"
"Month-to-month","Electronic check",3,"75.5","220.6",1,79,"5948"
"Month-to-month","Bank transfer (automatic)",1,"20.2","20.2",1,87,"5394"
"Month-to-month","Credit card (automatic)",3,"74.75","229.5",1,65,"3972"
"Month-to-month","Mailed check",23,"104.05","2470.1",1,93,"5963"
"Month-to-month","Electronic check",13,"96.65","1244.5",1,65,"2110"
"Month-to-month","Mailed check",1,"20.05","20.05",1,91,"3491"
"Month-to-month","Electronic check",39,"103.45","3994.45",1,83,"4811"
"Month-to-month","Electronic check",1,"19.9","19.9",1,73,"4633"
"Month-to-month","Electronic check",14,"46.35","667.7",1,76,"5360"
"Month-to-month","Electronic check",1,"19.95","19.95",1,83,"2051"
"Month-to-month","Electronic check",1,"79.6","79.6",1,98,"2199"
"Month-to-month","Electronic check",1,"75.9","75.9",1,66,"3389"
"Month-to-month","Electronic check",1,"76.2","76.2",1,83,"5973"
"Month-to-month","Mailed check",1,"19.25","19.25",1,80,"5437"
"Month-to-month","Electronic check",42,"84.3","3588.4",1,100,"2514"
"Month-to-month","Electronic check",7,"79.0","522.95",1,92,"3735"
"Month-to-month","Electronic check",1,"70.25","70.25",1,89,"4133"
"Month-to-month","Credit card (automatic)",10,"84.6","865.55",1,94,"3320"
"Month-to-month","Mailed check",17,"24.1","409.9",1,86,"4648"
"Month-to-month","Electronic check",1,"60.0","60.0",1,93,"4531"
"Month-to-month","Electronic check",8,"86.55","649.65",1,80,"4193"
"Month-to-month","Mailed check",1,"20.85","20.85",1,97,"3817"
"Month-to-month","Electronic check",39,"50.75","2011.4",1,94,"4119"
"One year","Credit card (automatic)",58,"105.5","6205.5",1,100,"5067"
"Month-to-month","Bank transfer (automatic)",6,"85.15","503.6",1,90,"5831"
"Month-to-month","Electronic check",22,"54.2","1152.7",1,87,"5102"
"One year","Electronic check",70,"109.5","7674.55",1,100,"4191"
"Month-to-month","Electronic check",21,"104.4","2157.95",1,77,"3796"
"Month-to-month","Credit card (automatic)",71,"105.1","7548.1",1,66,"5725"
"Month-to-month","Electronic check",1,"75.7","75.7",1,93,"4884"
"Month-to-month","Electronic check",20,"90.8","1951.0",1,87,"2312"
"Month-to-month","Electronic check",4,"97.95","384.5",1,72,"2570"
"Month-to-month","Credit card (automatic)",32,"108.15","3432.9",1,69,"2541"
"Month-to-month","Credit card (automatic)",6,"80.5","463.05",1,96,"2181"
"Month-to-month","Bank transfer (automatic)",27,"104.3","2867.75",1,75,"3444"
"Month-to-month","Mailed check",1,"71.35","71.35",1,92,"5730"
"Month-to-month","Electronic check",13,"89.4","1132.35",1,75,"2226"
"Month-to-month","Mailed check",1,"20.6","20.6",1,90,"3618"
"Month-to-month","Electronic check",19,"99.95","1931.75",1,76,"3670"
"Month-to-month","Credit card (automatic)",10,"81.0","818.05",1,95,"2946"
"Month-to-month","Electronic check",13,"70.15","916.75",1,85,"5101"
"Month-to-month","Mailed check",1,"70.15","70.15",1,97,"5773"
"One year","Credit card (automatic)",68,"96.55","6581.9",1,86,"5957"
"One year","Electronic check",39,"95.55","3692.85",1,73,"2767"
"Month-to-month","Electronic check",1,"69.65","69.65",1,82,"4741"
"Month-to-month","Electronic check",1,"89.3","89.3",1,85,"3067"
"Month-to-month","Electronic check",36,"87.55","3078.1",1,92,"2558"
"Month-to-month","Mailed check",15,"96.3","1426.75",1,72,"2933"
"Month-to-month","Electronic check",5,"85.2","474.8",1,87,"4109"
"Month-to-month","Electronic check",13,"35.1","446.1",1,79,"3104"
"Month-to-month","Electronic check",5,"81.3","416.3",1,100,"3819"
"Month-to-month","Electronic check",2,"19.6","35.85",1,66,"2843"
"Month-to-month","Electronic check",17,"85.45","1451.6",1,94,"3670"
"Month-to-month","Electronic check",1,"71.0","71.0",1,89,"4207"
"Month-to-month","Electronic check",9,"85.05","746.5",1,74,"5095"
"Month-to-month","Electronic check",1,"44.4","44.4",1,82,"4067"
"Month-to-month","Electronic check",1,"70.3","70.3",1,100,"4962"
"Month-to-month","Bank transfer (automatic)",1,"79.35","79.35",1,77,"3492"
"Month-to-month","Bank transfer (automatic)",9,"90.8","809.75",1,70,"2578"
"Month-to-month","Electronic check",20,"70.45","1470.95",1,87,"4773"
"One year","Electronic check",70,"45.25","3264.45",1,97,"5824"
"Month-to-month","Electronic check",3,"75.8","246.3",1,93,"5475"
"Month-to-month","Credit card (automatic)",20,"71.3","1389.2",1,98,"3684"
"Month-to-month","Electronic check",21,"69.1","1474.75",1,67,"3853"
"Month-to-month","Electronic check",17,"88.25","1460.65",1,68,"4041"
"Month-to-month","Bank transfer (automatic)",2,"70.0","153.05",1,81,"2928"
"Month-to-month","Electronic check",21,"97.35","2119.5",1,89,"4321"
"One year","Electronic check",67,"111.25","7511.65",0,37,"5649"
"Month-to-month","Bank transfer (automatic)",5,"25.9","135.0",1,83,"2102"
"Month-to-month","Bank transfer (automatic)",24,"55.65","1400.55",1,97,"4126"
"Month-to-month","Electronic check",1,"69.65","69.65",1,77,"2418"
"Month-to-month","Electronic check",10,"100.6","1060.2",1,77,"4001"
"Month-to-month","Electronic check",1,"86.0","86.0",1,82,"5359"
"One year","Credit card (automatic)",53,"106.95","5785.5",1,90,"5550"
"Month-to-month","Electronic check",3,"29.6","79.45",1,76,"2734"
"One year","Bank transfer (automatic)",46,"59.9","2816.65",1,80,"4011"
"Month-to-month","Electronic check",49,"95.6","4783.5",1,69,"5732"
"One year","Electronic check",11,"41.6","470.6",1,81,"3119"
"Month-to-month","Credit card (automatic)",45,"100.85","4740.0",1,70,"4898"
"Month-to-month","Bank transfer (automatic)",37,"40.2","1448.8",1,80,"3627"
"Month-to-month","Electronic check",49,"84.5","4254.85",1,85,"4639"
"Month-to-month","Electronic check",14,"78.95","1101.85",1,88,"5203"
"Month-to-month","Mailed check",1,"20.2","20.2",1,99,"5418"
"Month-to-month","Bank transfer (automatic)",47,"85.2","3969.35",1,72,"4661"
"Month-to-month","Electronic check",13,"98.0","1237.85",1,99,"3714"
"Month-to-month","Electronic check",5,"94.45","498.1",1,77,"4580"
"Month-to-month","Electronic check",3,"105.0","294.45",1,87,"5960"
"Month-to-month","Electronic check",26,"93.85","2381.55",1,86,"2591"
"Month-to-month","Electronic check",8,"84.0","613.4",1,91,"4819"
"Month-to-month","Electronic check",9,"48.75","442.2",1,97,"4359"
"Month-to-month","Electronic check",1,"84.85","84.85",1,77,"3086"
"Month-to-month","Mailed check",12,"56.65","654.85",1,90,"3043"
"One year","Credit card (automatic)",42,"73.9","3160.55",1,71,"2774"
"Two year","Mailed check",33,"24.5","740.3",1,77,"5194"
"Month-to-month","Electronic check",31,"89.9","2806.9",1,85,"2031"
"Month-to-month","Electronic check",18,"78.55","1422.65",1,84,"3521"
"Month-to-month","Electronic check",42,"99.45","4138.05",1,96,"4624"
"Month-to-month","Bank transfer (automatic)",4,"25.2","102.5",1,72,"4694"
"One year","Mailed check",12,"74.05","872.65",1,94,"4149"
"Month-to-month","Credit card (automatic)",15,"55.0","757.1",1,94,"3167"
"Month-to-month","Electronic check",7,"89.75","608.8",1,90,"3807"
"Month-to-month","Electronic check",14,"85.15","1139.2",1,100,"4550"
"Month-to-month","Electronic check",3,"94.6","279.55",1,87,"3019"
"Month-to-month","Electronic check",16,"94.25","1483.25",1,73,"2827"
"One year","Credit card (automatic)",65,"72.45","4653.85",1,68,"4415"
"Month-to-month","Electronic check",42,"105.2","4400.75",1,89,"2317"
"Month-to-month","Electronic check",6,"82.85","460.25",1,78,"4458"
"Month-to-month","Electronic check",53,"103.85","5485.5",1,87,"5860"
"Month-to-month","Electronic check",5,"83.6","404.2",1,93,"4565"
"One year","Electronic check",68,"108.45","7176.55",1,65,"4454"
"Month-to-month","Credit card (automatic)",3,"91.5","242.95",1,76,"5646"
"Month-to-month","Bank transfer (automatic)",12,"80.85","866.45",1,87,"4306"
"Month-to-month","Bank transfer (automatic)",43,"49.05","2076.2",1,92,"4044"
"Month-to-month","Electronic check",68,"105.3","7299.65",1,79,"6284"
"Month-to-month","Electronic check",25,"88.95","2291.2",1,100,"3878"
"One year","Electronic check",66,"110.85","7491.75",1,74,"4281"
"Two year","Bank transfer (automatic)",70,"114.2","7723.9",1,73,"5947"
"Month-to-month","Bank transfer (automatic)",27,"36.5","1032.0",1,93,"4564"
"Month-to-month","Mailed check",1,"70.75","70.75",1,93,"3963"
"Month-to-month","Mailed check",3,"40.15","130.75",1,75,"4710"
"Month-to-month","Electronic check",29,"94.45","2653.65",1,71,"2233"
"Month-to-month","Bank transfer (automatic)",36,"97.35","3457.9",1,86,"4544"
"Month-to-month","Mailed check",1,"45.3","45.3",1,69,"4954"
"Month-to-month","Electronic check",2,"94.95","178.1",1,87,"4493"
"Month-to-month","Electronic check",12,"44.55","480.6",1,89,"4162"
"Month-to-month","Electronic check",1,"23.45","23.45",1,90,"4517"
"Month-to-month","Mailed check",1,"29.7","29.7",1,74,"3383"
"Month-to-month","Electronic check",59,"101.1","6039.9",1,87,"4160"
"Month-to-month","Mailed check",3,"50.65","151.3",1,76,"2876"
"Month-to-month","Electronic check",1,"55.4","55.4",1,70,"2294"
"Month-to-month","Electronic check",1,"90.6","90.6",1,93,"2905"
"Month-to-month","Mailed check",2,"86.85","156.35",1,78,"5204"
"Month-to-month","Bank transfer (automatic)",29,"99.05","2952.85",1,82,"3179"
"One year","Credit card (automatic)",52,"111.25","5916.45",1,90,"4861"
"Month-to-month","Mailed check",2,"55.1","113.35",1,70,"4235"
"Month-to-month","Credit card (automatic)",13,"102.25","1359.0",1,66,"2003"
"Month-to-month","Credit card (automatic)",19,"95.9","1777.9",1,68,"2851"
"Month-to-month","Electronic check",47,"95.05","4504.55",1,65,"5214"
"Month-to-month","Credit card (automatic)",5,"53.85","259.8",1,74,"5435"
"Month-to-month","Electronic check",52,"104.2","5568.35",1,68,"5648"
"Month-to-month","Electronic check",42,"50.25","2203.65",1,97,"4873"
"Month-to-month","Electronic check",25,"99.5","2369.05",1,90,"5932"
"Month-to-month","Electronic check",9,"71.0","672.55",1,81,"2236"
"Month-to-month","Credit card (automatic)",16,"93.2","1573.7",1,75,"5497"
"Month-to-month","Mailed check",5,"19.35","126.05",1,97,"3864"
"Month-to-month","Mailed check",3,"19.85","64.55",1,93,"2158"
"Month-to-month","Electronic check",31,"104.2","3243.45",1,68,"5000"
"Month-to-month","Electronic check",1,"79.25","79.25",1,83,"5533"
"Month-to-month","Bank transfer (automatic)",1,"44.9","44.9",1,76,"2632"
"Month-to-month","Electronic check",10,"70.1","659.65",1,92,"2457"
"Month-to-month","Electronic check",4,"29.65","118.5",1,71,"4207"
"Month-to-month","Electronic check",43,"77.85","3365.85",1,100,"5107"
"Month-to-month","Electronic check",4,"54.3","195.3",1,87,"5834"
"Month-to-month","Bank transfer (automatic)",11,"95.15","997.65",1,71,"4074"
"One year","Credit card (automatic)",47,"110.85","5275.8",1,97,"3344"
"Month-to-month","Electronic check",1,"80.5","80.5",1,85,"2734"
"Month-to-month","Bank transfer (automatic)",4,"72.2","305.55",1,89,"5668"
"Month-to-month","Mailed check",17,"51.5","900.5",1,94,"5659"
"Month-to-month","Mailed check",43,"89.55","3856.75",1,73,"3802"
"One year","Mailed check",21,"77.5","1625.0",1,74,"5353"
"Month-to-month","Bank transfer (automatic)",42,"95.25","3959.35",1,89,"2075"
"Month-to-month","Electronic check",46,"85.0","3969.4",1,71,"2097"
"Month-to-month","Electronic check",5,"85.75","470.95",1,71,"3608"
"Month-to-month","Electronic check",6,"98.25","560.6",1,83,"3330"
"Month-to-month","Mailed check",1,"25.7","25.7",1,83,"4095"
"Month-to-month","Electronic check",7,"69.0","506.9",1,65,"5672"
"Month-to-month","Bank transfer (automatic)",2,"46.05","80.35",1,72,"4662"
"Month-to-month","Mailed check",1,"76.4","76.4",1,89,"2426"
"Month-to-month","Electronic check",5,"100.5","514.0",1,85,"5180"
"Month-to-month","Mailed check",22,"40.05","880.2",1,75,"2061"
"Month-to-month","Electronic check",1,"69.95","69.95",1,79,"5066"
"Month-to-month","Electronic check",1,"93.3","93.3",1,65,"2578"
"Month-to-month","Electronic check",3,"49.15","169.05",1,68,"5598"
"Month-to-month","Mailed check",1,"35.05","35.05",1,89,"3706"
"Month-to-month","Electronic check",1,"73.0","73.0",1,76,"4116"
"Month-to-month","Credit card (automatic)",33,"83.85","2716.3",1,79,"2583"
"Month-to-month","Electronic check",1,"70.1","70.1",1,84,"3706"
"Month-to-month","Electronic check",2,"70.65","142.35",1,74,"2189"
"Month-to-month","Mailed check",2,"20.35","33.2",1,65,"5627"
"Month-to-month","Credit card (automatic)",3,"99.0","287.4",1,77,"5236"
"Month-to-month","Electronic check",26,"83.95","2254.2",1,85,"5869"
"Two year","Credit card (automatic)",67,"116.2","7752.3",1,82,"4495"
"Two year","Bank transfer (automatic)",71,"93.7","6585.35",1,100,"4296"
"Month-to-month","Mailed check",1,"19.7","19.7",1,90,"5707"
"Month-to-month","Electronic check",5,"75.55","413.65",1,79,"4600"
"Month-to-month","Bank transfer (automatic)",9,"77.65","714.15",1,96,"3847"
"Month-to-month","Electronic check",26,"95.0","2497.2",1,90,"4232"
"One year","Credit card (automatic)",54,"105.4","5643.4",1,87,"4406"
"Month-to-month","Electronic check",2,"95.85","197.7",1,66,"3790"
"Month-to-month","Electronic check",1,"79.15","79.15",1,85,"4243"
"Month-to-month","Bank transfer (automatic)",30,"19.65","655.85",1,79,"2486"
"Month-to-month","Electronic check",4,"79.0","303.15",1,69,"2085"
"Month-to-month","Electronic check",17,"91.85","1574.45",1,89,"5643"
"One year","Electronic check",60,"106.0","6441.4",1,78,"5507"
"Month-to-month","Mailed check",1,"49.9","49.9",1,72,"3113"
"Month-to-month","Electronic check",13,"100.35","1358.85",1,69,"2008"
"Month-to-month","Bank transfer (automatic)",38,"74.95","2869.85",1,82,"5165"
"Month-to-month","Credit card (automatic)",1,"49.25","49.25",1,84,"4478"
"Month-to-month","Electronic check",50,"103.7","5071.05",1,82,"5897"
"One year","Electronic check",65,"89.75","5769.6",1,72,"6110"
"Month-to-month","Mailed check",1,"20.3","20.3",1,67,"3830"
"Month-to-month","Electronic check",7,"101.95","700.85",1,74,"2016"
"Month-to-month","Electronic check",2,"94.0","181.7",1,93,"5569"
"Month-to-month","Credit card (automatic)",45,"89.3","4016.85",1,97,"4880"
"Month-to-month","Credit card (automatic)",1,"74.3","74.3",1,69,"5996"
"Month-to-month","Mailed check",1,"44.65","44.65",1,66,"3704"
"Month-to-month","Electronic check",13,"84.05","1095.3",1,77,"4745"
"Month-to-month","Bank transfer (automatic)",10,"80.7","788.8",1,77,"3492"
"Month-to-month","Electronic check",4,"101.7","364.55",1,91,"2777"
"Month-to-month","Mailed check",1,"20.4","20.4",1,92,"3663"
"One year","Electronic check",41,"102.6","4213.35",1,84,"2098"
"Two year","Bank transfer (automatic)",71,"106.0","7723.7",1,81,"4072"
"Month-to-month","Mailed check",3,"55.1","154.65",1,97,"4412"
"Two year","Bank transfer (automatic)",69,"106.5","7348.8",1,81,"4859"
"Month-to-month","Bank transfer (automatic)",32,"91.05","2954.5",1,80,"3590"
"Month-to-month","Electronic check",51,"77.5","3807.35",1,96,"5748"
"Two year","Electronic check",72,"54.2","3937.45",1,66,"4481"
"Month-to-month","Mailed check",6,"69.25","418.4",1,77,"5816"
"Month-to-month","Electronic check",1,"50.5","50.5",1,83,"2077"
"Month-to-month","Electronic check",1,"74.4","74.4",1,89,"3429"
"One year","Mailed check",31,"79.45","2587.7",1,67,"2872"
"One year","Electronic check",58,"104.65","6219.6",1,66,"5411"
"Month-to-month","Electronic check",47,"100.05","4871.05",1,91,"5166"
"Month-to-month","Electronic check",44,"100.55","4398.15",1,81,"3486"
"Month-to-month","Electronic check",2,"95.65","167.3",1,82,"5332"
"Month-to-month","Electronic check",1,"94.4","94.4",1,77,"5764"
"Month-to-month","Credit card (automatic)",1,"55.0","55.0",1,98,"3809"
"Month-to-month","Electronic check",1,"101.45","101.45",1,77,"4390"
"Month-to-month","Bank transfer (automatic)",5,"67.95","350.3",1,69,"3889"
"Month-to-month","Electronic check",1,"69.5","69.5",1,91,"3365"
"Month-to-month","Mailed check",1,"18.85","18.85",1,90,"4132"
"Month-to-month","Electronic check",1,"69.2","69.2",1,82,"4073"
"Month-to-month","Electronic check",1,"69.65","69.65",1,67,"5258"
"Month-to-month","Electronic check",40,"101.85","4086.3",1,84,"2837"
"Month-to-month","Electronic check",1,"82.3","82.3",1,71,"4278"
"Month-to-month","Electronic check",3,"79.25","267.6",1,89,"4183"
"Month-to-month","Electronic check",13,"84.6","1115.2",1,77,"2659"
"Month-to-month","Bank transfer (automatic)",58,"93.4","5435.6",1,73,"5989"
"Month-to-month","Electronic check",42,"94.2","4186.3",1,95,"5458"
"Month-to-month","Electronic check",1,"25.05","25.05",1,95,"2119"
"Month-to-month","Credit card (automatic)",29,"25.1","712.85",1,81,"2796"
"Month-to-month","Electronic check",1,"48.95","48.95",1,65,"3913"
"Month-to-month","Electronic check",1,"45.3","45.3",1,78,"5774"
"Month-to-month","Electronic check",2,"85.85","167.3",1,67,"3273"
"Month-to-month","Electronic check",10,"95.2","930.4",1,69,"4922"
"One year","Bank transfer (automatic)",49,"100.6","5069.65",1,82,"5585"
"Month-to-month","Mailed check",6,"55.3","324.25",1,99,"3878"
"Month-to-month","Mailed check",2,"74.85","156.4",1,84,"5378"
"One year","Bank transfer (automatic)",35,"102.35","3626.1",1,80,"2473"
"One year","Credit card (automatic)",70,"115.65","7968.85",1,99,"5563"
"Month-to-month","Electronic check",2,"79.85","152.45",1,91,"3280"
"Month-to-month","Mailed check",15,"76.0","1130.85",1,74,"4938"
"Month-to-month","Bank transfer (automatic)",42,"104.75","4323.45",1,79,"2984"
"Month-to-month","Electronic check",9,"74.65","703.55",1,90,"5900"
"Month-to-month","Electronic check",1,"56.25","56.25",1,71,"3065"
"Month-to-month","Electronic check",21,"106.1","2249.95",1,69,"3584"
"Month-to-month","Bank transfer (automatic)",2,"79.75","159.4",1,77,"4038"
"Month-to-month","Electronic check",1,"68.65","68.65",1,99,"3052"
"Month-to-month","Bank transfer (automatic)",16,"20.25","327.45",1,83,"4327"
"Month-to-month","Electronic check",14,"100.2","1369.8",1,97,"3369"
"Month-to-month","Bank transfer (automatic)",15,"74.9","1107.25",1,97,"2510"
"Month-to-month","Electronic check",1,"70.85","70.85",1,72,"2874"
"Month-to-month","Credit card (automatic)",2,"69.8","134.7",1,74,"2320"
"Month-to-month","Bank transfer (automatic)",55,"54.55","2978.3",1,69,"6041"
"Month-to-month","Credit card (automatic)",7,"70.75","450.8",1,84,"2248"
"Month-to-month","Electronic check",13,"94.1","1215.6",1,75,"2973"
"Month-to-month","Credit card (automatic)",3,"29.7","91.7",1,84,"2613"
"One year","Credit card (automatic)",66,"110.9","7432.05",1,93,"4389"
"Month-to-month","Electronic check",38,"105.0","4026.4",1,92,"2341"
"Month-to-month","Electronic check",1,"25.3","25.3",1,99,"5421"
"One year","Credit card (automatic)",22,"55.15","1193.05",1,84,"5866"
"Month-to-month","Mailed check",1,"20.1","20.1",1,70,"4389"
"Month-to-month","Mailed check",1,"69.9","69.9",1,84,"2100"
"Month-to-month","Electronic check",43,"101.4","4528.0",1,79,"3370"
"Month-to-month","Electronic check",1,"80.8","80.8",1,82,"4424"
"Month-to-month","Bank transfer (automatic)",2,"62.05","118.3",1,96,"5344"
"Month-to-month","Electronic check",1,"76.45","76.45",1,95,"3763"
"Month-to-month","Electronic check",12,"91.3","1094.5",1,94,"4703"
"Month-to-month","Electronic check",6,"95.75","573.75",1,89,"5750"
"Month-to-month","Electronic check",34,"62.65","2274.9",1,91,"3918"
"Month-to-month","Electronic check",1,"74.5","74.5",1,69,"2016"
"Month-to-month","Credit card (automatic)",10,"102.1","1068.85",1,78,"3596"
"Month-to-month","Electronic check",16,"50.15","762.25",1,69,"4254"
"Month-to-month","Electronic check",7,"86.5","582.5",1,74,"3887"
"Month-to-month","Electronic check",27,"81.45","2122.05",1,83,"2571"
"Month-to-month","Electronic check",1,"69.15","69.15",1,87,"4179"
"Month-to-month","Electronic check",9,"79.55","723.4",1,81,"3246"
"Two year","Mailed check",48,"95.5","4627.85",1,97,"2459"
"Month-to-month","Electronic check",3,"91.05","289.1",1,99,"2194"
"Month-to-month","Electronic check",2,"79.2","172.85",1,67,"4225"
"Month-to-month","Electronic check",2,"45.25","85.5",1,74,"4566"
"Month-to-month","Electronic check",14,"74.3","1096.25",1,71,"5342"
"Month-to-month","Credit card (automatic)",3,"74.1","228.0",1,69,"5657"
"Month-to-month","Electronic check",57,"100.6","5746.15",1,74,"5247"
"Month-to-month","Mailed check",3,"75.0","209.1",1,88,"3190"
"Two year","Credit card (automatic)",64,"70.2","4481.0",1,89,"6080"
"Month-to-month","Electronic check",2,"70.75","154.85",1,96,"4407"
"Month-to-month","Bank transfer (automatic)",12,"50.25","593.75",1,67,"3624"
"Month-to-month","Credit card (automatic)",40,"79.2","3233.85",1,94,"3207"
"Month-to-month","Electronic check",12,"96.0","1062.1",1,89,"5239"
"Month-to-month","Electronic check",54,"100.1","5440.9",1,75,"5763"
"Month-to-month","Mailed check",4,"56.5","235.1",1,99,"5758"
"Month-to-month","Electronic check",1,"85.0","85.0",1,93,"2650"
"One year","Electronic check",51,"59.3","3014.65",1,95,"5633"
"Month-to-month","Electronic check",4,"49.4","184.4",1,84,"4455"
"Month-to-month","Mailed check",35,"55.0","2010.55",1,100,"2220"
"Month-to-month","Electronic check",1,"69.2","69.2",1,81,"2637"
"One year","Mailed check",38,"62.3","2354.8",1,83,"3818"
"Month-to-month","Electronic check",37,"92.5","3473.4",1,95,"4127"
"Month-to-month","Electronic check",3,"69.65","220.1",1,84,"2421"
"Two year","Credit card (automatic)",61,"111.6","6876.05",1,87,"4495"
"Month-to-month","Credit card (automatic)",11,"48.55","501.0",1,92,"4444"
"Month-to-month","Mailed check",1,"20.2","20.2",1,69,"4197"
"Month-to-month","Electronic check",19,"39.65","733.35",1,78,"2933"
